=== FOREX ===
COUNT=28
MODES={"TREND":14,"MEAN_REVERSION":9,"GENERIC":5}
EURUSD | TREND | families=MOM | entry=DUAL_FADE | riskATR=0.75 | source=V64 | news=null
GBPUSD | MEAN_REVERSION | families=SLOW | entry=DUAL_FADE | riskATR=0.75 | source=V64 | news=null
USDJPY | TREND | families=H1 | entry=DUAL_FADE | riskATR=0.55 | source=V66 | news=null
USDCHF | TREND | families=H1 | entry=DUAL_FADE | riskATR=0.75 | source=V64 | news=null
USDCAD | TREND | families=FAST | entry=DUAL_FADE | riskATR=0.75 | source=V64 | news=null
AUDUSD | TREND | families=FAST | entry=DUAL_FADE | riskATR=0.7 | source=V66 | news=null
NZDUSD | MEAN_REVERSION | families=REVERT | entry=DUAL_FADE | riskATR=0.8 | source=V66 | news=null
EURJPY | MEAN_REVERSION | families=REVERT | entry=PB | riskATR=0.5 | source=V64 | news=null
EURGBP | TREND | families=H1 | entry=PB | riskATR=0.75 | source=V64 | news=null
EURCHF | TREND | families=FAST | entry=DUAL_FADE | riskATR=0.5 | source=V64 | news=null
EURAUD | TREND | families=FAST | entry=DUAL_FADE | riskATR=0.45 | source=V66 | news=null
EURNZD | TREND | families=FAST | entry=DUAL_FADE | riskATR=0.5 | source=V64 | news=null
EURCAD | MEAN_REVERSION | families=SESSION | entry=DUAL_FADE | riskATR=0.9 | source=V66 | news=null
GBPJPY | TREND | families=FAST | entry=DUAL_FADE | riskATR=0.8 | source=V66 | news=null
GBPCHF | TREND | families=FAST | entry=DUAL_FADE | riskATR=0.75 | source=V64 | news=null
GBPAUD | MEAN_REVERSION | families=CONTRA24 | entry=DUAL_FADE | riskATR=0.65 | source=V66 | news=null
GBPNZD | GENERIC | families=MED | entry=DUAL_FADE | riskATR=0.8 | source=V66 | news=null
GBPCAD | MEAN_REVERSION | families=REVERT | entry=DUAL_FADE | riskATR=1 | source=V64 | news=null
AUDJPY | GENERIC | families=MED | entry=DUAL_FADE | riskATR=0.5 | source=V64 | news=null
AUDNZD | MEAN_REVERSION | families=SESSION | entry=DUAL_FADE | riskATR=0.5 | source=V64 | news=null
AUDCAD | GENERIC | families=MED | entry=DUAL_FADE | riskATR=0.5 | source=V66 | news=null
AUDCHF | MEAN_REVERSION | families=REVERT | entry=DUAL_FADE | riskATR=0.5 | source=V64 | news=null
NZDJPY | TREND | families=FAST | entry=DUAL_FADE | riskATR=0.7 | source=V66 | news=null
NZDCAD | GENERIC | families=MED | entry=DUAL_FADE | riskATR=0.5 | source=V64 | news=null
NZDCHF | TREND | families=FAST | entry=DUAL_FADE | riskATR=0.75 | source=V64 | news=null
CADJPY | TREND | families=FAST | entry=DUAL_FADE | riskATR=1.05 | source=V66 | news=null
CADCHF | GENERIC | families=MED | entry=DUAL_FADE | riskATR=1 | source=V64 | news=null
CHFJPY | MEAN_REVERSION | families=CONTRA24 | entry=DUAL_FADE | riskATR=0.5 | source=V64 | news=null
=== CRYPTO ===
COUNT=61
MODES={"TREND":13,"RELATIVE":34,"MEAN_REVERSION":14}
BTC | TREND | families=BTC_CORE,H4TREND,H1TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=BTC_CORE
ETH | RELATIVE | families=ETH_CORE,BREADTH,H1TREND,MOMENTUM,HYBRID | entry=ROUTER | riskATR=1 | source=V70 | news=ETH_CORE
SOL | RELATIVE | families=RELATIVE | entry=DUAL_FADE | riskATR=0.65 | source=V69 | news=SOL_ECOSYSTEM
HYPE | RELATIVE | families=RELATIVE | entry=DUAL_FADE | riskATR=0.8 | source=V69 | news=PERP_DEX
SHIB | TREND | families=MEME,H4TREND,D1TREND,MOMENTUM | entry=ROUTER | riskATR=0.5 | source=V70 | news=MEME
TRX | RELATIVE | families=L1_PAYMENTS,RELATIVE,MOMENTUM | entry=ROUTER | riskATR=0.5 | source=V70 | news=L1_PAYMENTS
XRP | TREND | families=H1TREND | entry=DUAL_FADE | riskATR=0.6 | source=V69 | news=PAYMENTS
AAVE | RELATIVE | families=DEFI,RELATIVE,D1TREND,BREADTH | entry=ROUTER | riskATR=0.75 | source=V70 | news=DEFI
ADA | RELATIVE | families=L1,RELATIVE | entry=ROUTER | riskATR=0.75 | source=V70 | news=L1
ALGO | RELATIVE | families=HYBRID | entry=DUAL_FADE | riskATR=0.75 | source=V69 | news=L1
APT | TREND | families=H4TREND | entry=DUAL_FADE | riskATR=0.7 | source=V69 | news=L1
ARB | MEAN_REVERSION | families=L2,MEANREV,BREADTH | entry=ROUTER | riskATR=1 | source=V70 | news=L2
ATOM | RELATIVE | families=INTERCHAIN,BREADTH,RELATIVE | entry=ROUTER | riskATR=0.75 | source=V70 | news=INTERCHAIN
AVAX | RELATIVE | families=L1,BTCALIGN,H1TREND,H4TREND,MOMENTUM | entry=ROUTER | riskATR=1 | source=V70 | news=L1
BCH | MEAN_REVERSION | families=BTC_BETA,MEANREV,BTCALIGN,H4TREND | entry=ROUTER | riskATR=1 | source=V70 | news=BTC_BETA
BONK | RELATIVE | families=SOL_MEME,RELATIVE,H4TREND | entry=ROUTER | riskATR=1 | source=V70 | news=SOL_MEME
CRV | MEAN_REVERSION | families=DEFI,MEANREV,RELATIVE,H1TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=DEFI
DOGE | RELATIVE | families=MEME,H4TREND,RELATIVE | entry=ROUTER | riskATR=0.5 | source=V70 | news=MEME
DOT | TREND | families=H4TREND | entry=DUAL_FADE | riskATR=0.55 | source=V69 | news=INTERCHAIN
ETC | TREND | families=H1TREND | entry=DUAL_FADE | riskATR=0.6 | source=V69 | news=POW_L1
FIL | RELATIVE | families=RELATIVE | entry=DUAL_FADE | riskATR=0.65 | source=V69 | news=STORAGE
FLOKI | MEAN_REVERSION | families=MEME,H4TREND,MOMENTUM,MEANREV,HYBRID | entry=ROUTER | riskATR=0.5 | source=V70 | news=MEME
HBAR | MEAN_REVERSION | families=RELATIVE,MEANREV,HYBRID,MOMENTUM | entry=ROUTER | riskATR=0.75 | source=V71 | news=ENTERPRISE_L1
INJ | TREND | families=MOMENTUM | entry=DUAL_FADE | riskATR=0.7 | source=V69 | news=PERP_DEX
JTO | MEAN_REVERSION | families=MEANREV | entry=DUAL_FADE | riskATR=0.6 | source=V69 | news=SOL_DEFI
JUP | RELATIVE | families=SOL_DEFI,MOMENTUM,RELATIVE,BTCALIGN,BREADTH | entry=ROUTER | riskATR=0.75 | source=V70 | news=SOL_DEFI
KAITO | RELATIVE | families=AI_INFOFI,MOMENTUM,RELATIVE,BTCALIGN,H1TREND | entry=ROUTER | riskATR=1.25 | source=V70 | news=AI_INFOFI
LDO | RELATIVE | families=ETH_STAKING,H4TREND,D1TREND,RELATIVE,BTCALIGN | entry=ROUTER | riskATR=0.75 | source=V70 | news=ETH_STAKING
LINK | RELATIVE | families=ORACLE_RWA,MOMENTUM,BTCALIGN,RELATIVE | entry=ROUTER | riskATR=1.25 | source=V70 | news=ORACLE_RWA
LTC | RELATIVE | families=BTC_BETA,H4TREND,D1TREND,MOMENTUM,BREADTH | entry=ROUTER | riskATR=0.75 | source=V70 | news=BTC_BETA
MOODENG | RELATIVE | families=MEME,H1TREND,BREADTH,BTCALIGN | entry=ROUTER | riskATR=0.75 | source=V70 | news=MEME
NEAR | MEAN_REVERSION | families=L1_AI,D1TREND,RELATIVE,H1TREND,MEANREV | entry=ROUTER | riskATR=0.75 | source=V70 | news=L1_AI
ONDO | MEAN_REVERSION | families=MEANREV | entry=DUAL_FADE | riskATR=0.7 | source=V69 | news=RWA
OP | RELATIVE | families=L2,BTCALIGN,H1TREND,H4TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=L2
ORDI | TREND | families=BTC_ECOSYSTEM,MOMENTUM,H1TREND,D1TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=BTC_ECOSYSTEM
PENGU | TREND | families=H4TREND | entry=DUAL_FADE | riskATR=0.75 | source=V69 | news=MEME
PEPE | MEAN_REVERSION | families=MEME,H4TREND,MEANREV,BTCALIGN | entry=ROUTER | riskATR=0.75 | source=V70 | news=MEME
PNUT | RELATIVE | families=MEME,RELATIVE,BREADTH,HYBRID | entry=ROUTER | riskATR=1 | source=V70 | news=MEME
POL | MEAN_REVERSION | families=L2,MEANREV,H4TREND | entry=ROUTER | riskATR=0.75 | source=V70 | news=L2
